feature,importance
Brent_clean_ema10,0.0757967
Brent_clean_lag1,0.060105603
ovx_gprd_interact,0.059674896
Brent_clean_lag5,0.055075027
OVX_lag2,0.05487482
OVX_ema20,0.050971396
Brent_clean_lag2,0.050634705
OVX_lag1,0.050037656
brent_vol5,0.048129395
Brent_clean_ema20,0.046576507
OVX_lag4,0.045499194
OVX_lag5,0.042888336
ovx_gprd_threat_interact,0.04093843
ovx_zscore,0.04001053
OVX_lag3,0.03984846
Brent_clean_ema5,0.03894241
GPRD_lag2,0.035614986
brent_vol20,0.034083586
ovx_mean_revert,0.033965763
vol_ratio,0.03292718
Brent_clean_lag4,0.032430403
gpr_threat_ratio,0.030973919
GPRD_THREAT_lag2,0.0
GPRD_THREAT_lag1,0.0
GPRD_THREAT_lag4,0.0
GPRD_THREAT_lag3,0.0
GPRD_ema5,0.0
GPRD_lag5,0.0
GPRD_lag4,0.0
GPRD_lag3,0.0
GPRD_lag1,0.0
Brent_clean_lag3,0.0
GPRD_ema20,0.0
GPRD_ema10,0.0
GPRD_THREAT_ema10,0.0
GPRD_THREAT_ema20,0.0
OVX_ema5,0.0
OVX_ema10,0.0
GPRD_THREAT_ema5,0.0
GPRD_THREAT_lag5,0.0
gprd_zscore,0.0
gprd_spike,0.0
ovx_high_regime,0.0
ovx_spike,0.0
gprd_threat_zscore,0.0
gprd_momentum,0.0
regime_gprd_interact,0.0
spike_ovx_interact,0.0
day_of_week,0.0
month,0.0
is_month_end,0.0
is_month_start,0.0
